SpaceSteps TimeSteps Scheme MaxError Time
500 14 BDF2 7.0e-04 8.0e-04
500 16 BDF2 5.3e-04 8.4e-04
500 20 BDF2 3.4e-04 9.7e-04
500 40 BDF2 9.2e-05 1.6e-03
500 80 BDF2 4.2e-05 2.9e-03
500 160 BDF2 2.9e-05 5.5e-03
500 320 BDF2 2.6e-05 1.1e-02
500 640 BDF2 2.5e-05 2.1e-02
500 1280 BDF2 2.5e-05 4.2e-02
500 1 LMG2 1.4e-02 4.1e-04
500 2 LMG2 4.2e-03 4.9e-04
500 3 LMG2 2.1e-03 5.7e-04
500 4 LMG2 1.3e-03 6.6e-04
500 5 LMG2 8.8e-04 7.7e-04
500 6 LMG2 6.4e-04 8.3e-04
500 7 LMG2 4.9e-04 9.4e-04
500 8 LMG2 3.9e-04 1.0e-03
500 9 LMG2 3.2e-04 1.1e-03
500 10 LMG2 2.6e-04 1.2e-03
500 12 LMG2 1.9e-04 1.3e-03
500 14 LMG2 1.5e-04 1.5e-03
500 16 LMG2 1.2e-04 1.7e-03
500 20 LMG2 8.8e-05 2.1e-03
500 40 LMG2 4.1e-05 3.7e-03
500 80 LMG2 2.9e-05 7.1e-03
500 160 LMG2 2.6e-05 1.4e-02
500 320 LMG2 2.5e-05 2.8e-02
500 640 LMG2 2.5e-05 5.5e-02
500 1280 LMG2 2.5e-05 1.1e-01
500 1 LS 1.8e-02 3.9e-04
500 2 LS 1.8e-03 4.8e-04
500 3 LS 5.4e-04 5.4e-04
500 4 LS 3.4e-04 5.6e-04
500 5 LS 2.2e-04 6.2e-04
500 6 LS 1.6e-04 6.7e-04
500 7 LS 1.2e-04 7.3e-04
500 8 LS 9.2e-05 7.9e-04
500 9 LS 7.5e-05 8.7e-04
500 10 LS 6.3e-05 9.0e-04
500 12 LS 4.8e-05 1.0e-03
500 14 LS 4.0e-05 1.1e-03
500 16 LS 3.5e-05 1.2e-03
500 20 LS 2.9e-05 1.5e-03
500 40 LS 2.5e-05 2.7e-03
500 80 LS 2.5e-05 5.0e-03
500 160 LS 2.5e-05 9.5e-03
500 320 LS 2.5e-05 1.9e-02
500 640 LS 2.5e-05 3.7e-02
500 1280 LS 2.5e-05 7.4e-02
500 1 TRBDF2 2.6e-02 4.0e-04
500 2 TRBDF2 4.6e-03 4.5e-04
500 3 TRBDF2 1.6e-03 5.1e-04
500 4 TRBDF2 6.7e-04 5.7e-04
500 5 TRBDF2 4.1e-04 6.3e-04
500 6 TRBDF2 2.8e-04 6.9e-04
500 7 TRBDF2 2.1e-04 7.4e-04
500 8 TRBDF2 1.6e-04 8.0e-04
500 9 TRBDF2 1.2e-04 8.6e-04
500 10 TRBDF2 1.0e-04 9.2e-04
500 12 TRBDF2 6.9e-05 1.1e-03
500 14 TRBDF2 5.1e-05 1.2e-03
500 16 TRBDF2 3.9e-05 1.3e-03
500 20 TRBDF2 2.5e-05 1.5e-03
500 40 TRBDF2 1.9e-05 2.7e-03
500 80 TRBDF2 2.4e-05 5.1e-03
500 160 TRBDF2 2.5e-05 9.7e-03
500 320 TRBDF2 2.5e-05 1.9e-02
500 640 TRBDF2 2.5e-05 3.8e-02
500 1280 TRBDF2 2.5e-05 7.6e-02
500 1 Bathe3 1.5e-02 4.2e-04
500 2 Bathe3 1.7e-03 5.1e-04
500 3 Bathe3 3.9e-04 6.0e-04
500 4 Bathe3 1.4e-04 7.4e-04
500 5 Bathe3 7.6e-05 8.3e-04
500 6 Bathe3 5.1e-05 9.0e-04
500 7 Bathe3 3.7e-05 9.9e-04
500 8 Bathe3 2.8e-05 1.1e-03
500 9 Bathe3 2.3e-05 1.2e-03
500 10 Bathe3 2.2e-05 1.2e-03
500 12 Bathe3 2.1e-05 1.4e-03
500 14 Bathe3 2.0e-05 1.6e-03
500 16 Bathe3 2.0e-05 1.8e-03
500 20 Bathe3 2.1e-05 2.2e-03
500 40 Bathe3 2.4e-05 4.0e-03
500 80 Bathe3 2.5e-05 7.8e-03
500 160 Bathe3 2.5e-05 1.5e-02
500 320 Bathe3 2.5e-05 3.0e-02
500 640 Bathe3 2.5e-05 6.0e-02
500 1280 Bathe3 2.5e-05 1.2e-01
500 1 RE 1.4e-02 4.5e-04
500 2 RE 5.9e-03 5.1e-04
500 3 RE 3.2e-03 5.9e-04
500 4 RE 2.0e-03 6.7e-04
500 5 RE 1.4e-03 7.6e-04
500 6 RE 1.0e-03 8.7e-04
500 7 RE 7.6e-04 9.3e-04
500 8 RE 6.0e-04 1.0e-03
500 9 RE 4.8e-04 1.1e-03
500 10 RE 4.0e-04 1.2e-03
500 12 RE 2.8e-04 1.4e-03
500 14 RE 2.1e-04 1.5e-03
500 16 RE 1.7e-04 1.7e-03
500 20 RE 1.1e-04 2.1e-03
500 40 RE 4.3e-05 3.8e-03
500 80 RE 3.0e-05 7.1e-03
500 160 RE 2.6e-05 1.4e-02
500 320 RE 2.5e-05 2.8e-02
500 640 RE 2.5e-05 5.5e-02
500 1280 RE 2.5e-05 1.1e-01


