SpaceSteps TimeSteps Scheme MaxError F Time
500 5 LS 5.3e-04 0.0250 6.4e-04
500 6 LS 2.1e-04 0.0284 6.8e-04
500 7 LS 1.7e-04 0.0252 7.3e-04
500 8 LS 1.2e-04 0.0255 8.3e-04
500 9 LS 9.6e-05 0.0252 8.9e-04
500 10 LS 7.7e-05 0.0252 9.3e-04
500 20 LS 1.7e-05 0.0252 1.5e-03
500 40 LS 2.9e-06 0.0056 2.7e-03
500 80 LS 1.3e-06 0.0154 5.0e-03
500 160 LS 1.9e-06 0.0232 9.7e-03
500 320 LS 2.1e-06 0.0236 1.9e-02
500 640 LS 2.2e-06 0.0236 3.8e-02
500 1280 LS 2.2e-06 0.0236 7.6e-02
500 1 TRBDF2 3.5e-01 0.0250 4.8e-04
500 2 TRBDF2 4.4e-02 0.0250 5.1e-04
500 3 TRBDF2 1.0e-02 0.0250 5.3e-04
500 4 TRBDF2 1.8e-03 0.0193 5.7e-04
500 5 TRBDF2 9.3e-04 0.0250 6.7e-04
500 6 TRBDF2 3.9e-04 0.0210 7.1e-04
500 7 TRBDF2 3.1e-04 0.0248 7.5e-04
500 8 TRBDF2 2.2e-04 0.0245 8.3e-04
500 9 TRBDF2 1.8e-04 0.0248 8.9e-04
500 10 TRBDF2 1.4e-04 0.0248 9.4e-04
500 20 TRBDF2 3.4e-05 0.0248 1.6e-03
500 40 TRBDF2 6.7e-06 0.0248 2.7e-03
500 80 TRBDF2 7.6e-07 0.0080 5.1e-03
500 160 TRBDF2 1.7e-06 0.0232 1.0e-02
500 320 TRBDF2 2.1e-06 0.0236 2.0e-02
500 640 TRBDF2 2.2e-06 0.0236 3.9e-02
500 1280 TRBDF2 2.2e-06 0.0236 7.8e-02
500 1 TRBDF3 6.6e-01 0.0250 5.5e-04
500 2 TRBDF3 1.1e-01 0.0250 5.2e-04
500 3 TRBDF3 2.3e-02 0.0250 6.3e-04
500 4 TRBDF3 5.1e-03 0.0250 7.1e-04
500 5 TRBDF3 1.1e-03 0.0250 7.8e-04
500 6 TRBDF3 2.6e-04 0.0217 9.6e-04
500 7 TRBDF3 9.3e-05 0.0220 9.9e-04
500 8 TRBDF3 4.5e-05 0.0222 1.2e-03
500 9 TRBDF3 2.9e-05 0.0225 1.2e-03
500 10 TRBDF3 2.2e-05 0.0232 1.2e-03
500 20 TRBDF3 4.1e-06 0.0250 2.2e-03
500 40 TRBDF3 7.7e-07 0.0146 4.2e-03
500 80 TRBDF3 1.8e-06 0.0234 8.0e-03
500 160 TRBDF3 2.1e-06 0.0236 1.5e-02
500 320 TRBDF3 2.2e-06 0.0236 3.1e-02
500 640 TRBDF3 2.2e-06 0.0236 6.1e-02
500 1280 TRBDF3 2.2e-06 0.0236 1.2e-01
500 1 RE 4.6e-02 0.0250 5.9e-04
500 2 RE 6.7e-03 0.0250 5.4e-04
500 3 RE 3.1e-03 0.0107 6.1e-04
500 4 RE 1.9e-03 0.0092 7.5e-04
500 5 RE 1.3e-03 0.0085 8.6e-04
500 6 RE 9.4e-04 0.0080 9.6e-04
500 7 RE 7.1e-04 0.0077 1.0e-03
500 8 RE 5.5e-04 0.0073 1.0e-03
500 9 RE 4.4e-04 0.0073 1.1e-03
500 10 RE 3.6e-04 0.0070 1.2e-03
500 20 RE 9.5e-05 0.0066 2.0e-03
500 40 RE 2.4e-05 0.0068 3.8e-03
500 80 RE 6.4e-06 0.0075 7.3e-03
500 160 RE 2.2e-06 0.0131 1.4e-02
500 320 RE 2.1e-06 0.0227 2.8e-02
500 640 RE 2.2e-06 0.0234 5.5e-02
500 1280 RE 2.2e-06 0.0236 1.1e-01
